id,first_name,last_name,voivodeship,city,email,phone_number,age,last_purchase_category,purchases_value
4113,*,*,"{Dolnośląskie, Kujawsko-Pomorskie}","{Bydgoszcz, Gdańsk}",*,*,"[20, 40[",2,>=2000
1154,*,*,"{Opolskie, Podkarpackie}","{Szczecin, Warszawa}",*,*,"[60, 80[",2,"[0, 1000["
1412,*,*,"{Mazowieckie, Małopolskie}","{Lublin, Poznań}",*,*,"[20, 40[",2,"[0, 1000["
3703,*,*,"{Lubelskie, Lubuskie}","{Szczecin, Warszawa}",*,*,"[20, 40[",3,"[0, 1000["
1926,*,*,"{Mazowieckie, Małopolskie}","{Wrocław, Łódź}",*,*,"[20, 40[",1,"[0, 1000["
133,*,*,"{Opolskie, Podkarpackie}","{Bydgoszcz, Gdańsk}",*,*,"[60, 80[",5,"[0, 1000["
4357,*,*,"{Mazowieckie, Małopolskie}","{Katowice, Kraków}",*,*,"[60, 80[",3,"[0, 1000["
2924,*,*,"{Mazowieckie, Małopolskie}","{Wrocław, Łódź}",*,*,"[20, 40[",3,"[0, 1000["
4153,*,*,"{Opolskie, Podkarpackie}","{Lublin, Poznań}",*,*,"[60, 80[",2,"[0, 1000["
1315,*,*,"{Dolnośląskie, Kujawsko-Pomorskie}","{Bydgoszcz, Gdańsk}",*,*,"[60, 80[",5,"[0, 1000["
2153,*,*,"{Opolskie, Podkarpackie}","{Bydgoszcz, Gdańsk}",*,*,"[20, 40[",2,>=2000
2844,*,*,"{Opolskie, Podkarpackie}","{Bydgoszcz, Gdańsk}",*,*,"[60, 80[",5,"[0, 1000["
4036,*,*,"{Mazowieckie, Małopolskie}","{Szczecin, Warszawa}",*,*,"[20, 40[",2,"[0, 1000["
3290,*,*,"{Podlaskie, Łódzkie}","{Wrocław, Łódź}",*,*,"[40, 60[",1,"[0, 1000["
931,*,*,"{Mazowieckie, Małopolskie}","{Lublin, Poznań}",*,*,"[40, 60[",2,"[0, 1000["
2011,*,*,*,*,*,*,*,*,*
2450,*,*,"{Dolnośląskie, Kujawsko-Pomorskie}","{Bydgoszcz, Gdańsk}",*,*,"[60, 80[",1,"[0, 1000["
4137,*,*,"{Dolnośląskie, Kujawsko-Pomorskie}","{Lublin, Poznań}",*,*,"[60, 80[",1,"[0, 1000["
300,*,*,"{Opolskie, Podkarpackie}","{Wrocław, Łódź}",*,*,"[20, 40[",1,>=2000
2909,*,*,"{Mazowieckie, Małopolskie}","{Wrocław, Łódź}",*,*,"[20, 40[",5,"[0, 1000["
987,*,*,"{Dolnośląskie, Kujawsko-Pomorskie}","{Katowice, Kraków}",*,*,"[20, 40[",3,"[0, 1000["
3632,*,*,*,*,*,*,*,*,*
3924,*,*,"{Dolnośląskie, Kujawsko-Pomorskie}","{Wrocław, Łódź}",*,*,"[20, 40[",4,"[0, 1000["
