id,first_name,last_name,voivodeship,city,email,phone_number,age,last_purchase_category,purchases_value
1,Filip,Adamczyk,Dolnośląskie,Wrocław,jacek.szymański58@mail.com,+48 807662339,21,5,280
2,Grzegorz,Kaczor,Podkarpackie,Gdańsk,henryk.woźniak27@example.com,+48 050643694,20,2,390
3,Beata,Dąbrowski,Kujawsko-Pomorskie,Lublin,grażyna.dąbrowski59@example.com,+48 555276613,43,4,670
4,Danuta,Kaczmarek,Lubuskie,Warszawa,grażyna.dąbrowski28@mail.com,+48 267952410,24,4,340
5,Łukasz,Woźniak,Łódzkie,Poznań,dariusz.kowalski24@example.com,+48 797852810,32,3,360
6,Małgorzata,Krawczyk,Kujawsko-Pomorskie,Łódź,agnieszka.szymański69@example.com,+48 541485367,65,1,150
7,Edward,Krawczyk,Opolskie,Lublin,dariusz.dąbrowski80@mail.com,+48 930418212,25,3,60
8,Paweł,Zając,Małopolskie,Lublin,jacek.wójcik31@inbox.com,+48 910185051,65,2,250
9,Urszula,Dąbrowski,Podlaskie,Bydgoszcz,ewa.lewandowski64@mail.com,+48 320740025,32,5,360
10,Paweł,Kowalski,Kujawsko-Pomorskie,Bydgoszcz,bartosz.kowalski15@inbox.com,+48 355813753,70,4,180
11,Henryk,Grabowski,Lubuskie,Warszawa,henryk.wójcik7@example.com,+48 429625558,41,2,100
12,Beata,Piotrowski,Dolnośląskie,Poznań,celina.szymański76@mail.com,+48 263132536,58,1,1710
13,Katarzyna,Zając,Małopolskie,Lublin,ewa.woźniak32@mail.com,+48 468430300,31,4,470
14,Paweł,Jabłoński,Lubelskie,Kraków,iwona.szymański38@mail.com,+48 679515180,51,3,2640
15,Jacek,Nowak,Kujawsko-Pomorskie,Poznań,bartosz.woźniak61@post.com,+48 292029823,35,2,110
16,Czesław,Mazur,Kujawsko-Pomorskie,Bydgoszcz,filip.lewandowski17@example.com,+48 900750925,55,1,110
17,Agnieszka,Kaczor,Lubuskie,Gdańsk,filip.wójcik13@post.com,+48 444756238,34,5,170
18,Norbert,Zawadzki,Kujawsko-Pomorskie,Gdańsk,bartosz.dąbrowski98@mail.com,+48 242918028,77,2,190
19,Dariusz,Kamiński,Małopolskie,Lublin,jacek.woźniak45@example.com,+48 601719416,37,4,50
20,Róża,Dudek,Kujawsko-Pomorskie,Poznań,henryk.szymański71@example.com,+48 524763408,80,3,90
21,Dariusz,Piotrowski,Podlaskie,Poznań,bartosz.szymański30@mail.com,+48 140098937,33,5,4130
22,Róża,Kowalski,Dolnośląskie,Kraków,iwona.dziedzic30@mail.com,+48 310857614,73,4,240
23,Filip,Kowalski,Lubuskie,Poznań,grażyna.wiśniewski25@inbox.com,+48 521948495,32,2,40
24,Wojciech,Kaczor,Opolskie,Łódź,bartosz.kowalski28@post.com,+48 415443643,71,2,310
25,Czesław,Krawczyk,Podkarpackie,Warszawa,grażyna.kowalski5@mail.com,+48 872082714,41,3,20
26,Ewa,Wójcik,Podkarpackie,Poznań,dariusz.lewandowski85@post.com,+48 981240196,54,1,170
27,Norbert,Dudek,Małopolskie,Szczecin,bartosz.dziedzic16@example.com,+48 487804699,34,1,80
28,Katarzyna,Kwiatkowski,Mazowieckie,Gdańsk,iwona.kowalski46@inbox.com,+48 951732903,74,4,80
29,Katarzyna,Lewandowski,Kujawsko-Pomorskie,Szczecin,agnieszka.woźniak51@inbox.com,+48 180338097,27,2,220
30,Celina,Kwiatkowski,Mazowieckie,Gdańsk,bartosz.kamiński3@inbox.com,+48 319477709,28,1,4360
31,Szymon,Piotrowski,Podkarpackie,Bydgoszcz,iwona.kamiński92@post.com,+48 854143975,29,1,480
32,Filip,Grabowski,Mazowieckie,Wrocław,dariusz.lewandowski37@inbox.com,+48 946329876,25,2,290
33,Beata,Szymański,Podlaskie,Wrocław,bartosz.lewandowski54@post.com,+48 077463259,40,1,400
34,Róża,Dziedzic,Kujawsko-Pomorskie,Łódź,iwona.kowalski64@mail.com,+48 305844286,63,1,60
35,Teresa,Michalak,Opolskie,Gdańsk,bartosz.dziedzic16@post.com,+48 587363919,20,4,0
36,Norbert,Nowak,Opolskie,Poznań,henryk.dziedzic84@mail.com,+48 607942648,47,5,20
37,Oliwia,Michalak,Dolnośląskie,Lublin,bartosz.kowalski49@example.com,+48 318861665,65,1,340
38,Ewa,Woźniak,Opolskie,Poznań,bartosz.dziedzic37@post.com,+48 242838410,54,5,230
39,Danuta,Piotrowski,Mazowieckie,Kraków,grażyna.woźniak4@example.com,+48 012682384,23,4,9530
40,Ewa,Zawadzki,Podlaskie,Łódź,dariusz.nowak56@inbox.com,+48 537720388,43,5,8540
41,Małgorzata,Woźniak,Podkarpackie,Poznań,celina.lewandowski15@example.com,+48 653992734,46,1,630
42,Szymon,Wiśniewski,Opolskie,Wrocław,dariusz.dziedzic94@example.com,+48 716960602,75,1,1650
43,Bartosz,Wiśniewski,Dolnośląskie,Łódź,jacek.wiśniewski36@example.com,+48 930735808,66,2,390
44,Zofia,Mazur,Opolskie,Szczecin,dariusz.kamiński59@post.com,+48 048907878,22,1,270
45,Felicja,Krawczyk,Lubuskie,Poznań,agnieszka.wiśniewski41@post.com,+48 080715888,61,3,380
46,Czesław,Wójcik,Opolskie,Gdańsk,jacek.szymański13@example.com,+48 392058846,22,1,9820
47,Edward,Mazur,Małopolskie,Wrocław,grażyna.dziedzic48@example.com,+48 772320857,54,5,210
48,Jacek,Kwiatkowski,Małopolskie,Warszawa,iwona.wójcik52@inbox.com,+48 809718582,78,5,210
49,Iwona,Szymański,Lubuskie,Łódź,ewa.kowalski51@example.com,+48 068741035,79,2,370
50,Małgorzata,Dziedzic,Łódzkie,Wrocław,bartosz.wiśniewski53@mail.com,+48 810908374,52,4,320
51,Filip,Michalak,Lubuskie,Wrocław,jacek.wójcik45@mail.com,+48 238112922,30,4,480
52,Wojciech,Kamiński,Kujawsko-Pomorskie,Łódź,filip.wiśniewski19@post.com,+48 599763456,58,5,2180
53,Iwona,Zawadzki,Podkarpackie,Lublin,bartosz.dąbrowski51@inbox.com,+48 640327392,65,1,6550
