id,first_name,last_name,voivodeship,city,email,phone_number,age,last_purchase_category,purchases_value
0,Jacek,Wiśniewski,Lubuskie,Lublin,xjdlhrkqcctujluueewgvyigbrftrd0,mcislntwtlvfr0,47.0,2,102.0
1,Norbert,Kwiatkowski,Małopolskie,Lublin,xzfcaolmxfgpzshkhygoldbmspgmcw1,iujkcloytbtjy1,31.0,4,4380.0
2,Jacek,Mazur,Kujawsko-Pomorskie,Szczecin,zahkdqshpujqecalyfkzdajzeyyeba2,bqojewmtpgdil2,78.0,1,97.0
3,Iwona,Kaczmarek,Lubuskie,Poznań,lcqdbammddzwvfhaewsnghdwmqcbeo3,ynszgarjddvqp3,60.0,1,91.0
4,Grażyna,Nowak,Dolnośląskie,Bydgoszcz,pxptvititczgsofkdbgvyokxoswcxh4,vusgvcwppwzqb4,31.0,5,88.0
5,Małgorzata,Kaczor,Lubuskie,Gdańsk,qdrifxbnpfwvhkvttdrmpggocvdttb5,lnweyuapjaera5,63.0,2,323.0
6,Grzegorz,Michalak,Kujawsko-Pomorskie,Bydgoszcz,hjxvaqvhztszjihmsknmagciyovuma6,wixbojxgbckcq6,79.0,5,4228.0
7,Teresa,Grabowski,Małopolskie,Bydgoszcz,ikufkwwvespuyfyzsscrptdwqrooif7,ilatpodqsbyvi7,57.0,2,248.0
8,Zofia,Grabowski,Opolskie,Warszawa,elffoejoqyvzjquandcknqcgqvyugr8,vvorcjjvdbgkd8,60.0,5,288.0
9,Filip,Krawczyk,Łódzkie,Wrocław,tussftrbpqnikftegygtrlzakvbaap9,tunwngrpjsvat9,79.0,1,9791.0
10,Paweł,Krawczyk,Kujawsko-Pomorskie,Lublin,achbrbdkuttjfpclrrepzbadycgaco10,gaqjzhjllpzhh10,44.0,4,423.0
11,Iwona,Kaczmarek,Kujawsko-Pomorskie,Łódź,wcmyreadxfxdhgjqyttujbuhavnebh11,fhaiyaqjcfanf11,25.0,4,445.0
12,Jacek,Dąbrowski,Łódzkie,Wrocław,dkulvqkaiinuedccfsvjjqkdhxbzuh12,oczckgdbzdxok12,72.0,1,9356.0
13,Wojciech,Adamczyk,Podlaskie,Wrocław,whpcopomtxtmmwcoeovvqsarrkjemb13,dlluksgnmlwib13,43.0,1,1914.0
14,Beata,Adamczyk,Opolskie,Lublin,bpciqnvlzrspzgfkjcyxguugfrfvqm14,ppebxjthgesht14,22.0,4,15.0
15,Beata,Kaczmarek,Podkarpackie,Łódź,wusphehrqlgbsolqxgtdrresrcdrrt15,htlvxgigrwzob15,42.0,5,318.0
16,Aleksander,Kwiatkowski,Kujawsko-Pomorskie,Warszawa,oshkiiycovofeehwvzeomndnidjhys16,hqgxnqnhvsjsu16,62.0,5,948.0
17,Róża,Szymański,Podlaskie,Lublin,krdlklzttvdeuvjrmhnrnbwvlujlhp17,ndmgnutvkpwhd17,59.0,1,247.0
18,Paweł,Kwiatkowski,Podlaskie,Wrocław,fvzygjjbmbyhnedldjdgpwxrgzgrhv18,yjounmagvmpig18,73.0,4,2170.0
19,Teresa,Wójcik,Lubelskie,Bydgoszcz,lzihmnkjmkefafzzjlgyekzvpazcol19,qbdwmodlepbba19,77.0,4,163.0
20,Zofia,Adamczyk,Małopolskie,Poznań,bbihywzivberdmsxqzpybtukjnjbkj20,qushcmhccbnnk20,27.0,5,450.0
21,Róża,Grabowski,Podlaskie,Poznań,ksmacfqokegmxvexibpnlsjqidnhmj21,hwcxccbejorhu21,25.0,3,455.0
22,Helena,Kamiński,Opolskie,Bydgoszcz,girfczkdmkmyzondjsuvhfnxuoryco22,weemkdeedkpqd22,59.0,1,304.0
23,Paweł,Michalak,Opolskie,Wrocław,eyvcrbkczvreoaelyakeoaqcrdzinj23,vjejafedjnfrh23,79.0,4,1824.0
24,Celina,Woźniak,Małopolskie,Kraków,rvfvfuvvmwldinkyebzyoegskpiham24,vzembsopkcitj24,54.0,2,167.0
25,Małgorzata,Kamiński,Lubuskie,Lublin,bqblhllcuazebacqyyxvznqtfmclrc25,dzcgmtkpuqaoi25,41.0,5,68.0
26,Celina,Kaczmarek,Łódzkie,Poznań,ywcfxitgyyexyuhjmwsprbxornnzcn26,guyichvcjghhf26,66.0,4,481.0
27,Wojciech,Dudek,Mazowieckie,Wrocław,bryyrzvlvqpnukegiqdotoddbjftcs27,upllkcwkngvac27,73.0,2,814.0
28,Iwona,Wojciechowski,Lubuskie,Poznań,ohbknkjocuqfkgmmugplwwwrcpywtl28,baedmqucilqof28,65.0,2,135.0
29,Grażyna,Kowalski,Podkarpackie,Poznań,njkhqfsvhvaacslfgejhsmnnzhcpjn29,dxehnheexmdyd29,23.0,1,480.0
30,Edward,Michalak,Opolskie,Lublin,ulyppvlxgwarsklqiicgiaeocatheu30,ojiupdtmeuiyg30,42.0,2,299.0
31,Paweł,Zawadzki,Lubuskie,Kraków,zdobawrblkysrmcfpxsokvuiftuetb31,eyosvlugedylx31,29.0,1,162.0
32,Grzegorz,Adamczyk,Lubuskie,Poznań,fwywfpuxqpmjkedkopacftoaadmzdl32,zgxmambwbidfj32,63.0,1,440.0
33,Jacek,Dąbrowski,Kujawsko-Pomorskie,Katowice,hpunpnhoiwoaoqdqvtvjzelmuxvcgu33,bxhrkczboofyk33,25.0,2,38.0
34,Aleksander,Wiśniewski,Kujawsko-Pomorskie,Kraków,wyfpoczmejnlasogeihabuyqiabqxh34,hipxmeocmqxev34,25.0,2,395.0
35,Katarzyna,Wiśniewski,Opolskie,Lublin,fbqyjohqkzeaqukjserwztizzldrev35,pvtlglofyivgd35,20.0,3,5970.0
36,Katarzyna,Wiśniewski,Małopolskie,Wrocław,ptcsjyfxuhcqtvhdfgkcuowzgabytt36,fmqpfntpmchkk36,79.0,2,53.0
37,Katarzyna,Mazur,Kujawsko-Pomorskie,Łódź,fbvieftgzzwfguxzrxnsaurfgtafrq37,ydyfhzgoklind37,66.0,5,127.0
38,Wojciech,Zawadzki,Dolnośląskie,Wrocław,vjulcbbhwukmjenxxqixqcnidwxfdy38,ybbhtwgvdlmue38,37.0,5,351.0
39,Małgorzata,Krawczyk,Dolnośląskie,Poznań,meudxckerddtsskbhtteolfvfjogog39,nvmyawyzwctfa39,55.0,3,299.0
40,Felicja,Michalak,Podkarpackie,Warszawa,krnxcwsqxqcivdljptuuwfzhymlppl40,kmsfgdozsiqlv40,41.0,2,207.0
41,Grzegorz,Dudek,Kujawsko-Pomorskie,Kraków,xkzavxhosnndbrmllcodibipnwncui41,ptxilatnbrcof41,42.0,4,78.0
42,Norbert,Krawczyk,Lubuskie,Lublin,xitmysqvqgexndprmlbvyorenkffcu42,bxxgjsaebvshh42,26.0,5,454.0
43,Bartosz,Szymański,Dolnośląskie,Łódź,wcdwmdugrwmiskrbjyzwmncuaiikvv43,eqjhaitwavomj43,60.0,2,376.0
44,Małgorzata,Kaczmarek,Kujawsko-Pomorskie,Lublin,xrckkgwxjscxfpzvonlnupujiqgiot44,qctvrottsgyeu44,57.0,4,337.0
45,Małgorzata,Zając,Podlaskie,Gdańsk,yqfshallizkggzjehtfgzqthvygmyr45,pnophmpmevqjd45,74.0,2,1872.0
46,Danuta,Piotrowski,Lubelskie,Poznań,rtnnamtxljishxdhpxmpxlswmqdirl46,vpkrmiwlnvudh46,78.0,1,6272.0
47,Celina,Kaczor,Łódzkie,Szczecin,gcablxbyxscdaojlzxunisqeoxlxbm47,lidvrarxvoxlm47,79.0,2,5947.0
48,Ewa,Wiśniewski,Kujawsko-Pomorskie,Gdańsk,shvmjjqsedjcwkmigvffprghbhfgoi48,baclsznmlsjvf48,21.0,4,380.0
49,Felicja,Dziedzic,Lubelskie,Gdańsk,inyqvvlaoabxwvkypazxhgtijsywlo49,uxsqbgkhkciar49,35.0,1,412.0
50,Jacek,Zawadzki,Podlaskie,Kraków,fqahibampjtzxbqcfzrxmshmngjsry50,curvnuqkjulip50,52.0,2,858.0
51,Grzegorz,Dudek,Mazowieckie,Łódź,dyejeqifcwxinafmskctoprageccnz51,zfzkhjsnigarw51,42.0,2,237.0
52,Zofia,Zając,Lubuskie,Szczecin,jypsolkpanokskxzcndlovuwpbybaa52,wuwxpeoaledmv52,65.0,2,337.0
53,Beata,Kaczmarek,Opolskie,Gdańsk,rfujfgrgekcosykusesvdqjrtnbznf53,bskzrmahfirxo53,21.0,1,5941.0
54,Danuta,Szymański,Dolnośląskie,Poznań,jvymcjpdamqcugrwoxdaanwaoioirj54,qcnddcoudnakv54,22.0,2,375.0
55,Czesław,Adamczyk,Podlaskie,Szczecin,zbbcpvocqbqhqndekgkmbmtmdnwxxl55,ztdkyqeffroay55,68.0,5,129.0
56,Małgorzata,Kaczmarek,Podkarpackie,Poznań,bjozkomyoosiwoddnyvxhibekqqobu56,ncfmtoefjhvuq56,20.0,1,385.0
57,Dariusz,Szymański,Kujawsko-Pomorskie,Warszawa,zadafjvcuxnrkkmgmkbapqpzwtrimm57,fpqbvtxgvaaiz57,73.0,5,6695.0
58,Helena,Mazur,Podkarpackie,Bydgoszcz,uxmnstllkgwzyemowsphqmyrghjmur58,cumghzcemwvwg58,43.0,1,250.0
59,Dariusz,Dąbrowski,Łódzkie,Gdańsk,fxzivrefzihlxqiubzojzegbuainol59,ihlofrhdbkpxl59,40.0,5,263.0
60,Czesław,Krawczyk,Małopolskie,Łódź,fynkccjabnohbsxjphdpzienaonofu60,gvdpmutefeyrz60,79.0,4,37.0
61,Beata,Kowalski,Małopolskie,Poznań,eluwjexyqkilbintwuucmrhfipdsxo61,ojtmofdbpxdrg61,49.0,4,20.0
62,Małgorzata,Michalak,Opolskie,Bydgoszcz,leasfmdvgsyulklumuvyoapkvwswjs62,zgmixwjbkdlta62,35.0,3,7.0
63,Celina,Nowakowski,Lubuskie,Kraków,hinabzwzytylajdrfjwqmjvunygxdf63,odukrzhuujbll63,43.0,1,381.0
64,Danuta,Woźniak,Opolskie,Bydgoszcz,gdefzeypbwbhoylfdzaeaygealytur64,cevwbdmlczmqu64,67.0,5,68.0
65,Filip,Lewandowski,Małopolskie,Poznań,kubdokeqdwfyetwbigikepjgxultux65,subewddgvjygf65,57.0,3,60.0
66,Róża,Krawczyk,Mazowieckie,Łódź,kiinttehgyswqlovotxzmmoclkqjnh66,uncjnavcexotk66,64.0,5,189.0
67,Beata,Dąbrowski,Podlaskie,Poznań,vpiznexnzohgeiznpaybpkznddksyc67,tuybbciswvhaa67,30.0,1,4408.0
68,Szymon,Wiśniewski,Podkarpackie,Poznań,hxruoeaqgyydtchyxcsfearsigwqac68,cairbajzswmse68,34.0,4,1908.0
69,Beata,Piotrowski,Podlaskie,Kraków,katmchdildwqvcyezirgdyqttkgdoc69,sdmeowmtksvow69,66.0,4,154.0
70,Zofia,Krawczyk,Podkarpackie,Katowice,ccuiqvciltselpuuadlvzrrkvhupck70,zbgbongthnfrs70,30.0,1,403.0
71,Helena,Mazur,Dolnośląskie,Poznań,pqdolfcctzfibhvecvktmbwujftrne71,llvqvwmnizsog71,54.0,4,42.0
72,Zofia,Nowakowski,Opolskie,Łódź,fgvrojirqenjqcevpfovqsdkamhqya72,mwhvlwmafusne72,67.0,1,192.0
73,Katarzyna,Grabowski,Opolskie,Bydgoszcz,xpzlygmjbilansngslmpvjurfaxomm73,suboucymcbvda73,31.0,2,4212.0
74,Oliwia,Adamczyk,Opolskie,Poznań,dooambnmpmxzkczhyoimbtfxwphgew74,ibwgladjdmohw74,60.0,1,484.0
75,Aleksander,Kaczor,Lubuskie,Lublin,xaxdhuyswsglbghvufsiguzcpasaud75,vqrnyzueqjeqg75,32.0,3,24.0
76,Edward,Michalak,Mazowieckie,Poznań,twpumqhoefhzcyuikblahpovijakxl76,ygorqmngkudyi76,46.0,2,202.0
