id,first_name,last_name,voivodeship,city,email,phone_number,age,last_purchase_category,purchases_value
0,Jacek,Kowalski,Podkarpackie,Lublin,lrxzichsrrdhpxlojntrimsvr0,zdhcwvsuhcdzt0,32,1,133
1,Norbert,Kaczor,Kujawsko-Pomorskie,Warszawa,bzexeeyisxaybhrpeceeanwwq1,mmatlficcgqga1,64,2,170
2,Jacek,Dudek,Lubuskie,Poznań,eexnxhclcwhrcfogybqdnddow2,ythfeujtzxoei2,66,4,452
3,Iwona,Kamiński,Dolnośląskie,Lublin,lhcamixbpvvxydzsvzcoxvvnu3,gcecixfitipil3,48,2,843
4,Grażyna,Jabłoński,Dolnośląskie,Łódź,arepgqxmuoqbdduchhmwqcocu4,tklursolephno4,22,5,73
5,Małgorzata,Szymański,Łódzkie,Warszawa,vfhzactuygqszqlfehfdmzvrz5,ignpxuyhawpyv5,72,1,387
6,Grzegorz,Dziedzic,Małopolskie,Łódź,clxbuwmpxdfyjqodhgnfsedpd6,rwrzkyfiwjekq6,73,5,95
7,Teresa,Dąbrowski,Lubuskie,Wrocław,nxwhfabkdaosboiuahnbdqvod7,hdkgyzfipshzx7,39,2,101
8,Zofia,Kaczor,Kujawsko-Pomorskie,Gdańsk,uybprtngdngchsbqmiangfuym8,kgorptdlntprn8,33,5,301
9,Filip,Kaczor,Podkarpackie,Gdańsk,ojtakufpswlblzhknuzppzoow9,bxnnircnapvit9,22,2,102
10,Paweł,Woźniak,Opolskie,Bydgoszcz,grhnrqotgxdnzrnuiehloqlgp10,holtdqagvcvmu10,77,5,4115
11,Iwona,Wiśniewski,Dolnośląskie,Lublin,ryzqwbbqzmzmevleedhrgvubs11,ibjqfzyhgwhpj11,34,3,80
12,Jacek,Michalak,Podkarpackie,Poznań,kjeknukwgarefipwrsqnybqjp12,fogaxellsvuim12,24,2,339
13,Wojciech,Kaczor,Kujawsko-Pomorskie,Łódź,ivihfvefudgywmotyzndaxcxi13,phizpbkhxmwzz13,52,2,302
14,Beata,Kaczor,Łódzkie,Łódź,vhgzgannkvxzmnvndnrfrmnhe14,cszvbyiwujibg14,70,5,445
15,Beata,Michalak,Lubuskie,Gdańsk,nrtehtcmewrxidizmnwkxpzds15,wxhyncbqkeuwk15,66,2,47
16,Aleksander,Szymański,Mazowieckie,Lublin,advjpesgnslizrtqurnasfuju16,uyfciubjdnozo16,32,2,9322
17,Róża,Kowalski,Dolnośląskie,Poznań,hhhogipgfgxwslihdsqplseyu17,ooulgiwkpsiwy17,23,5,151
18,Paweł,Lewandowski,Podkarpackie,Poznań,bhtlgafnhutevryglvtbmhpot18,eyeawgfdsqljo18,34,5,14
19,Teresa,Wójcik,Lubuskie,Katowice,ienijsuyshhlfhymkbqscrgzl19,yssdfslzqkjiy19,23,5,171
20,Zofia,Nowakowski,Małopolskie,Kraków,vdztngdavlefmwcrwoxwxwjxo20,hrayxwcwqakvo20,21,3,465
21,Róża,Mazur,Podlaskie,Poznań,fqgntjlvfdpkggdgvnnxribib21,cwodfltehojwg21,28,1,4071
22,Helena,Dudek,Kujawsko-Pomorskie,Kraków,vqiqmhsmiakembkekrwqyqmsk22,oomcshfqsqznz22,59,2,242
23,Paweł,Grabowski,Podlaskie,Warszawa,zdhgbrjkdyhhdrraedlpycaii23,rsycjrrhsgruf23,43,5,135
24,Celina,Jabłoński,Małopolskie,Kraków,ohubcgdajstveoswkwogmwdoo24,pmgckfbwjmuoj24,21,2,332
25,Małgorzata,Nowak,Podlaskie,Gdańsk,fnfqynydjskjsaibcfxndvuvn25,hmwtzywkexhac25,35,2,182
